id,ticket_id,category,priority,question,response
1,BK001,account,high,"My account is locked what should I do?","Please verify your identity using the OTP sent to your registered mobile number. If not received, click 'Resend OTP'. Contact branch if issue persists."
2,BK002,transfer,medium,"How can I transfer money to another account?","Open Mobile Banking App → 'Transfer Money' → Enter recipient account number/IFSC → Amount → Confirm with OTP sent to your registered mobile."
3,BK003,balance,low,"I want to check my current balance.","Your latest account balance is sent via SMS alert. Alternatively, login to Mobile App → Home → Accounts → View Balance. Last updated: real-time."
4,BK004,card,high,"My debit card got declined at the shop.","Possible reasons: Daily spending limit reached, International transaction disabled, or merchant issue. Solutions: 1) Call 1800-419-1234 2) Use UPI 3) Check app notifications."
5,BK005,loan,medium,"What are the current interest rates for personal loan?","Personal Loan rates: 10.5% - 14.25% p.a. (floating). Check eligibility instantly in app: Loans → Personal Loan → Apply Now. Processing fee: 1% of loan amount."
6,BK006,kyc,high,"My KYC is pending how to complete?","Complete e-KYC now: App → Profile → KYC → Upload PAN/Aadhaar. Video KYC available 24/7. Branch verification also accepted. Required for transactions > ₹50,000."
7,BK007,password,high,"I forgot my net banking password.","Reset instantly: www.bank.net → Forgot Password → Enter registered mobile → New password via OTP. Call helpline if mobile number changed."
8,BK008,fd,low,"How to open Fixed Deposit online?","Minimum ₹10,000. App → Invest → FD → Choose tenure (7 days-10 years) → Amount → Confirm. Interest: 6.5%-7.5% p.a. Premature withdrawal penalty applies."
9,BK009,cheque,medium,"How long does cheque take to clear?","Local cheques: T+0.5 days (instant if CTS). Outstation: T+2 days. Track status: App → Cheque Status → Enter cheque number."
10,BK010,upi,high,"UPI transaction failed what to do?","Check SMS alerts first. Common fixes: 1) Update UPI PIN 2) Sufficient balance 3) Valid VPA. Refund credited within T+2 days. Track: App → UPI → History."
11,BK011,statement,low,"How to download account statement?","App → Accounts → Statement → Select period (last 1/3/6/12 months) → Email/PDF download. e-Statement saves paper."
12,BK012,limit,medium,"How to increase daily transaction limit?","App → Profile → Limits → Request increase → Submit PAN/income proof. ATM: ₹50K → ₹1L, POS: ₹2L → ₹5L. Approved within 24 hours."
13,BK013,branch,low,"Nearest branch location and timings?","App → Locate Us → Enter PIN code. Monday-Saturday: 10AM-4PM. Sunday holiday. 24/7 ATM/CRM available."
14,BK014,insurance,medium,"What insurance products do you offer?","Term Life, Health, Car, Home. Instant quotes in app. Discounts for existing customers. Claims processed within 7 days."
15,BK015,mutualfund,low,"How to start SIP in mutual funds?","Minimum ₹500/month. App → Invest → Mutual Funds → Choose scheme → KYC → Set date/amount. NAV applied on SIP date."
16,BK016,creditcard,high,"Credit card payment not reflecting.","Payment reflects within T+2 days. Check: App → Credit Card → Payment Status. Pay via NEFT/IMPS/UPI. Minimum due: 5% of outstanding."
17,BK017,rtgs,medium,"RTGS/NEFT transfer limits and charges?","RTGS (>₹2L): ₹25-50. NEFT (<₹2L): Free. Instant credit. App → Transfer → RTGS/NEFT → Beneficiary → Amount."
18,BK018,demat,low,"How to open Demat account?","App → Invest → Demat → Complete e-KYC → ₹0 opening charges. Trade stocks/MF/FDs from single app."
19,BK019,tax,medium,"Where to find Form 16 for tax filing?","App → Profile → Documents → Form 16 → Download FY 2023-24. TDS certificate also available."
20,BK020,complaint,high,"How to register complaint against service?","App → Help → Complaint → Category → Details. Tracked via ticket number. Resolution SLA: 7 working days."
